m,n,l,r,q,easiness_alpha,easiness_beta,iternum,method,error
1000.0,1000.0,25.0,25.0,0.3,50.0,1e-06,0.0,kos,0.002
1000.0,1000.0,25.0,25.0,0.3,50.0,2.5,0.0,kos,0.008
1000.0,1000.0,25.0,25.0,0.3,50.0,5.0,0.0,kos,0.041
1000.0,1000.0,25.0,25.0,0.3,50.0,7.5,0.0,kos,0.084
1000.0,1000.0,25.0,25.0,0.3,50.0,10.0,0.0,kos,0.119
1000.0,1000.0,25.0,25.0,0.3,50.0,15.0,0.0,kos,0.22
1000.0,1000.0,25.0,25.0,0.3,50.0,20.0,0.0,kos,0.347
1000.0,1000.0,25.0,25.0,0.3,50.0,25.0,0.0,kos,0.417
1000.0,1000.0,25.0,25.0,0.3,50.0,1e-06,1.0,kos,0.002
1000.0,1000.0,25.0,25.0,0.3,50.0,2.5,1.0,kos,0.008
1000.0,1000.0,25.0,25.0,0.3,50.0,5.0,1.0,kos,0.041
1000.0,1000.0,25.0,25.0,0.3,50.0,7.5,1.0,kos,0.084
1000.0,1000.0,25.0,25.0,0.3,50.0,10.0,1.0,kos,0.119
1000.0,1000.0,25.0,25.0,0.3,50.0,15.0,1.0,kos,0.22
1000.0,1000.0,25.0,25.0,0.3,50.0,20.0,1.0,kos,0.347
1000.0,1000.0,25.0,25.0,0.3,50.0,25.0,1.0,kos,0.417
1000.0,1000.0,25.0,25.0,0.3,50.0,1e-06,2.0,kos,0.002
1000.0,1000.0,25.0,25.0,0.3,50.0,2.5,2.0,kos,0.008
1000.0,1000.0,25.0,25.0,0.3,50.0,5.0,2.0,kos,0.041
1000.0,1000.0,25.0,25.0,0.3,50.0,7.5,2.0,kos,0.084
1000.0,1000.0,25.0,25.0,0.3,50.0,10.0,2.0,kos,0.119
1000.0,1000.0,25.0,25.0,0.3,50.0,15.0,2.0,kos,0.22
1000.0,1000.0,25.0,25.0,0.3,50.0,20.0,2.0,kos,0.347
1000.0,1000.0,25.0,25.0,0.3,50.0,25.0,2.0,kos,0.417
1000.0,1000.0,25.0,25.0,0.3,50.0,1e-06,3.0,kos,0.002
1000.0,1000.0,25.0,25.0,0.3,50.0,2.5,3.0,kos,0.008
1000.0,1000.0,25.0,25.0,0.3,50.0,5.0,3.0,kos,0.041
1000.0,1000.0,25.0,25.0,0.3,50.0,7.5,3.0,kos,0.084
1000.0,1000.0,25.0,25.0,0.3,50.0,10.0,3.0,kos,0.119
1000.0,1000.0,25.0,25.0,0.3,50.0,15.0,3.0,kos,0.22
1000.0,1000.0,25.0,25.0,0.3,50.0,20.0,3.0,kos,0.347
1000.0,1000.0,25.0,25.0,0.3,50.0,25.0,3.0,kos,0.417
1000.0,1000.0,25.0,25.0,0.3,50.0,1e-06,4.0,kos,0.002
1000.0,1000.0,25.0,25.0,0.3,50.0,2.5,4.0,kos,0.008
1000.0,1000.0,25.0,25.0,0.3,50.0,5.0,4.0,kos,0.041
1000.0,1000.0,25.0,25.0,0.3,50.0,7.5,4.0,kos,0.084
1000.0,1000.0,25.0,25.0,0.3,50.0,10.0,4.0,kos,0.119
1000.0,1000.0,25.0,25.0,0.3,50.0,15.0,4.0,kos,0.22
1000.0,1000.0,25.0,25.0,0.3,50.0,20.0,4.0,kos,0.347
1000.0,1000.0,25.0,25.0,0.3,50.0,25.0,4.0,kos,0.417
1000.0,1000.0,25.0,25.0,0.3,50.0,1e-06,5.0,kos,0.002
1000.0,1000.0,25.0,25.0,0.3,50.0,2.5,5.0,kos,0.008
1000.0,1000.0,25.0,25.0,0.3,50.0,5.0,5.0,kos,0.041
1000.0,1000.0,25.0,25.0,0.3,50.0,7.5,5.0,kos,0.084
1000.0,1000.0,25.0,25.0,0.3,50.0,10.0,5.0,kos,0.119
1000.0,1000.0,25.0,25.0,0.3,50.0,15.0,5.0,kos,0.22
1000.0,1000.0,25.0,25.0,0.3,50.0,20.0,5.0,kos,0.347
1000.0,1000.0,25.0,25.0,0.3,50.0,25.0,5.0,kos,0.417
1000.0,1000.0,25.0,25.0,0.3,50.0,1e-06,6.0,kos,0.002
1000.0,1000.0,25.0,25.0,0.3,50.0,2.5,6.0,kos,0.008
1000.0,1000.0,25.0,25.0,0.3,50.0,5.0,6.0,kos,0.041
1000.0,1000.0,25.0,25.0,0.3,50.0,7.5,6.0,kos,0.084
1000.0,1000.0,25.0,25.0,0.3,50.0,10.0,6.0,kos,0.119
1000.0,1000.0,25.0,25.0,0.3,50.0,15.0,6.0,kos,0.22
1000.0,1000.0,25.0,25.0,0.3,50.0,20.0,6.0,kos,0.347
1000.0,1000.0,25.0,25.0,0.3,50.0,25.0,6.0,kos,0.417
1000.0,1000.0,25.0,25.0,0.3,50.0,1e-06,7.0,kos,0.002
1000.0,1000.0,25.0,25.0,0.3,50.0,2.5,7.0,kos,0.008
1000.0,1000.0,25.0,25.0,0.3,50.0,5.0,7.0,kos,0.041
1000.0,1000.0,25.0,25.0,0.3,50.0,7.5,7.0,kos,0.084
1000.0,1000.0,25.0,25.0,0.3,50.0,10.0,7.0,kos,0.119
1000.0,1000.0,25.0,25.0,0.3,50.0,15.0,7.0,kos,0.22
1000.0,1000.0,25.0,25.0,0.3,50.0,20.0,7.0,kos,0.347
1000.0,1000.0,25.0,25.0,0.3,50.0,25.0,7.0,kos,0.417
1000.0,1000.0,25.0,25.0,0.3,50.0,1e-06,8.0,kos,0.002
1000.0,1000.0,25.0,25.0,0.3,50.0,2.5,8.0,kos,0.008
1000.0,1000.0,25.0,25.0,0.3,50.0,5.0,8.0,kos,0.041
1000.0,1000.0,25.0,25.0,0.3,50.0,7.5,8.0,kos,0.084
1000.0,1000.0,25.0,25.0,0.3,50.0,10.0,8.0,kos,0.119
1000.0,1000.0,25.0,25.0,0.3,50.0,15.0,8.0,kos,0.22
1000.0,1000.0,25.0,25.0,0.3,50.0,20.0,8.0,kos,0.347
1000.0,1000.0,25.0,25.0,0.3,50.0,25.0,8.0,kos,0.417
1000.0,1000.0,25.0,25.0,0.3,50.0,1e-06,9.0,kos,0.002
1000.0,1000.0,25.0,25.0,0.3,50.0,2.5,9.0,kos,0.008
1000.0,1000.0,25.0,25.0,0.3,50.0,5.0,9.0,kos,0.041
1000.0,1000.0,25.0,25.0,0.3,50.0,7.5,9.0,kos,0.084
1000.0,1000.0,25.0,25.0,0.3,50.0,10.0,9.0,kos,0.119
1000.0,1000.0,25.0,25.0,0.3,50.0,15.0,9.0,kos,0.22
1000.0,1000.0,25.0,25.0,0.3,50.0,20.0,9.0,kos,0.347
1000.0,1000.0,25.0,25.0,0.3,50.0,25.0,9.0,kos,0.417
1000.0,1000.0,25.0,25.0,0.3,50.0,1e-06,10.0,kos,0.001
1000.0,1000.0,25.0,25.0,0.3,50.0,2.5,10.0,kos,0.005
1000.0,1000.0,25.0,25.0,0.3,50.0,5.0,10.0,kos,0.015
1000.0,1000.0,25.0,25.0,0.3,50.0,7.5,10.0,kos,0.049
1000.0,1000.0,25.0,25.0,0.3,50.0,10.0,10.0,kos,0.063
1000.0,1000.0,25.0,25.0,0.3,50.0,15.0,10.0,kos,0.18
1000.0,1000.0,25.0,25.0,0.3,50.0,20.0,10.0,kos,0.271
1000.0,1000.0,25.0,25.0,0.3,50.0,25.0,10.0,kos,0.38
1000.0,1000.0,25.0,25.0,0.3,50.0,1e-06,11.0,kos,0.001
1000.0,1000.0,25.0,25.0,0.3,50.0,2.5,11.0,kos,0.003
1000.0,1000.0,25.0,25.0,0.3,50.0,5.0,11.0,kos,0.018
