m,n,l,r,q,easiness_alpha,easiness_beta,iternum,method,error
1000.0,1000.0,25.0,25.0,0.1823636363636364,50.0,1e-06,16.0,kos,0.028
1000.0,1000.0,25.0,25.0,0.21863636363636366,50.0,1e-06,16.0,kos,0.006
1000.0,1000.0,25.0,25.0,0.2549090909090909,50.0,1e-06,16.0,kos,0.0
1000.0,1000.0,25.0,25.0,0.2911818181818182,50.0,1e-06,16.0,kos,0.0
1000.0,1000.0,25.0,25.0,0.3274545454545455,50.0,1e-06,16.0,kos,0.0
1000.0,1000.0,25.0,25.0,0.3637272727272728,50.0,1e-06,16.0,kos,0.0
1000.0,1000.0,25.0,25.0,0.4,50.0,1e-06,16.0,kos,0.0
1000.0,1000.0,25.0,25.0,0.001,50.0,1e-06,17.0,kos,0.493
1000.0,1000.0,25.0,25.0,0.03727272727272728,50.0,1e-06,17.0,kos,0.484
1000.0,1000.0,25.0,25.0,0.07354545454545455,50.0,1e-06,17.0,kos,0.377
1000.0,1000.0,25.0,25.0,0.10981818181818183,50.0,1e-06,17.0,kos,0.197
1000.0,1000.0,25.0,25.0,0.1460909090909091,50.0,1e-06,17.0,kos,0.09
1000.0,1000.0,25.0,25.0,0.1823636363636364,50.0,1e-06,17.0,kos,0.028
1000.0,1000.0,25.0,25.0,0.21863636363636366,50.0,1e-06,17.0,kos,0.006
1000.0,1000.0,25.0,25.0,0.2549090909090909,50.0,1e-06,17.0,kos,0.0
1000.0,1000.0,25.0,25.0,0.2911818181818182,50.0,1e-06,17.0,kos,0.0
1000.0,1000.0,25.0,25.0,0.3274545454545455,50.0,1e-06,17.0,kos,0.0
1000.0,1000.0,25.0,25.0,0.3637272727272728,50.0,1e-06,17.0,kos,0.0
1000.0,1000.0,25.0,25.0,0.4,50.0,1e-06,17.0,kos,0.0
1000.0,1000.0,25.0,25.0,0.001,50.0,1e-06,18.0,kos,0.493
1000.0,1000.0,25.0,25.0,0.03727272727272728,50.0,1e-06,18.0,kos,0.484
1000.0,1000.0,25.0,25.0,0.07354545454545455,50.0,1e-06,18.0,kos,0.377
1000.0,1000.0,25.0,25.0,0.10981818181818183,50.0,1e-06,18.0,kos,0.197
1000.0,1000.0,25.0,25.0,0.1460909090909091,50.0,1e-06,18.0,kos,0.09
1000.0,1000.0,25.0,25.0,0.1823636363636364,50.0,1e-06,18.0,kos,0.028
1000.0,1000.0,25.0,25.0,0.21863636363636366,50.0,1e-06,18.0,kos,0.006
1000.0,1000.0,25.0,25.0,0.2549090909090909,50.0,1e-06,18.0,kos,0.0
1000.0,1000.0,25.0,25.0,0.2911818181818182,50.0,1e-06,18.0,kos,0.0
1000.0,1000.0,25.0,25.0,0.3274545454545455,50.0,1e-06,18.0,kos,0.0
1000.0,1000.0,25.0,25.0,0.3637272727272728,50.0,1e-06,18.0,kos,0.0
1000.0,1000.0,25.0,25.0,0.4,50.0,1e-06,18.0,kos,0.0
1000.0,1000.0,25.0,25.0,0.001,50.0,1e-06,19.0,kos,0.493
1000.0,1000.0,25.0,25.0,0.03727272727272728,50.0,1e-06,19.0,kos,0.484
1000.0,1000.0,25.0,25.0,0.07354545454545455,50.0,1e-06,19.0,kos,0.377
1000.0,1000.0,25.0,25.0,0.10981818181818183,50.0,1e-06,19.0,kos,0.197
1000.0,1000.0,25.0,25.0,0.1460909090909091,50.0,1e-06,19.0,kos,0.09
1000.0,1000.0,25.0,25.0,0.1823636363636364,50.0,1e-06,19.0,kos,0.028
1000.0,1000.0,25.0,25.0,0.21863636363636366,50.0,1e-06,19.0,kos,0.006
1000.0,1000.0,25.0,25.0,0.2549090909090909,50.0,1e-06,19.0,kos,0.0
1000.0,1000.0,25.0,25.0,0.2911818181818182,50.0,1e-06,19.0,kos,0.0
1000.0,1000.0,25.0,25.0,0.3274545454545455,50.0,1e-06,19.0,kos,0.0
1000.0,1000.0,25.0,25.0,0.3637272727272728,50.0,1e-06,19.0,kos,0.0
1000.0,1000.0,25.0,25.0,0.4,50.0,1e-06,19.0,kos,0.0
1000.0,1000.0,25.0,25.0,0.001,50.0,1e-06,20.0,kos,0.51
1000.0,1000.0,25.0,25.0,0.03727272727272728,50.0,1e-06,20.0,kos,0.437
1000.0,1000.0,25.0,25.0,0.07354545454545455,50.0,1e-06,20.0,kos,0.369
1000.0,1000.0,25.0,25.0,0.10981818181818183,50.0,1e-06,20.0,kos,0.241
1000.0,1000.0,25.0,25.0,0.1460909090909091,50.0,1e-06,20.0,kos,0.134
1000.0,1000.0,25.0,25.0,0.1823636363636364,50.0,1e-06,20.0,kos,0.046
1000.0,1000.0,25.0,25.0,0.21863636363636366,50.0,1e-06,20.0,kos,0.021
1000.0,1000.0,25.0,25.0,0.2549090909090909,50.0,1e-06,20.0,kos,0.011
1000.0,1000.0,25.0,25.0,0.2911818181818182,50.0,1e-06,20.0,kos,0.008
1000.0,1000.0,25.0,25.0,0.3274545454545455,50.0,1e-06,20.0,kos,0.002
1000.0,1000.0,25.0,25.0,0.3637272727272728,50.0,1e-06,20.0,kos,0.001
1000.0,1000.0,25.0,25.0,0.4,50.0,1e-06,20.0,kos,0.001
1000.0,1000.0,25.0,25.0,0.001,50.0,1e-06,21.0,kos,0.51
1000.0,1000.0,25.0,25.0,0.03727272727272728,50.0,1e-06,21.0,kos,0.437
1000.0,1000.0,25.0,25.0,0.07354545454545455,50.0,1e-06,21.0,kos,0.369
1000.0,1000.0,25.0,25.0,0.10981818181818183,50.0,1e-06,21.0,kos,0.241
1000.0,1000.0,25.0,25.0,0.1460909090909091,50.0,1e-06,21.0,kos,0.134
1000.0,1000.0,25.0,25.0,0.1823636363636364,50.0,1e-06,21.0,kos,0.046
1000.0,1000.0,25.0,25.0,0.21863636363636366,50.0,1e-06,21.0,kos,0.021
1000.0,1000.0,25.0,25.0,0.2549090909090909,50.0,1e-06,21.0,kos,0.011
1000.0,1000.0,25.0,25.0,0.2911818181818182,50.0,1e-06,21.0,kos,0.008
1000.0,1000.0,25.0,25.0,0.3274545454545455,50.0,1e-06,21.0,kos,0.002
1000.0,1000.0,25.0,25.0,0.3637272727272728,50.0,1e-06,21.0,kos,0.001
1000.0,1000.0,25.0,25.0,0.4,50.0,1e-06,21.0,kos,0.001
1000.0,1000.0,25.0,25.0,0.001,50.0,1e-06,22.0,kos,0.51
1000.0,1000.0,25.0,25.0,0.03727272727272728,50.0,1e-06,22.0,kos,0.437
1000.0,1000.0,25.0,25.0,0.07354545454545455,50.0,1e-06,22.0,kos,0.369
1000.0,1000.0,25.0,25.0,0.10981818181818183,50.0,1e-06,22.0,kos,0.241
1000.0,1000.0,25.0,25.0,0.1460909090909091,50.0,1e-06,22.0,kos,0.134
1000.0,1000.0,25.0,25.0,0.1823636363636364,50.0,1e-06,22.0,kos,0.046
1000.0,1000.0,25.0,25.0,0.21863636363636366,50.0,1e-06,22.0,kos,0.021
1000.0,1000.0,25.0,25.0,0.2549090909090909,50.0,1e-06,22.0,kos,0.011
1000.0,1000.0,25.0,25.0,0.2911818181818182,50.0,1e-06,22.0,kos,0.008
1000.0,1000.0,25.0,25.0,0.3274545454545455,50.0,1e-06,22.0,kos,0.002
1000.0,1000.0,25.0,25.0,0.3637272727272728,50.0,1e-06,22.0,kos,0.001
1000.0,1000.0,25.0,25.0,0.4,50.0,1e-06,22.0,kos,0.001
1000.0,1000.0,25.0,25.0,0.001,50.0,1e-06,23.0,kos,0.51
1000.0,1000.0,25.0,25.0,0.03727272727272728,50.0,1e-06,23.0,kos,0.437
1000.0,1000.0,25.0,25.0,0.07354545454545455,50.0,1e-06,23.0,kos,0.369
1000.0,1000.0,25.0,25.0,0.10981818181818183,50.0,1e-06,23.0,kos,0.241
1000.0,1000.0,25.0,25.0,0.1460909090909091,50.0,1e-06,23.0,kos,0.134
1000.0,1000.0,25.0,25.0,0.1823636363636364,50.0,1e-06,23.0,kos,0.046
1000.0,1000.0,25.0,25.0,0.21863636363636366,50.0,1e-06,23.0,kos,0.021
1000.0,1000.0,25.0,25.0,0.2549090909090909,50.0,1e-06,23.0,kos,0.011
1000.0,1000.0,25.0,25.0,0.2911818181818182,50.0,1e-06,23.0,kos,0.008
1000.0,1000.0,25.0,25.0,0.3274545454545455,50.0,1e-06,23.0,kos,0.002
1000.0,1000.0,25.0,25.0,0.3637272727272728,50.0,1e-06,23.0,kos,0.001
1000.0,1000.0,25.0,25.0,0.4,50.0,1e-06,23.0,kos,0.001
1000.0,1000.0,25.0,25.0,0.001,50.0,1e-06,24.0,kos,0.51
1000.0,1000.0,25.0,25.0,0.03727272727272728,50.0,1e-06,24.0,kos,0.437
1000.0,1000.0,25.0,25.0,0.07354545454545455,50.0,1e-06,24.0,kos,0.369
1000.0,1000.0,25.0,25.0,0.10981818181818183,50.0,1e-06,24.0,kos,0.241
1000.0,1000.0,25.0,25.0,0.1460909090909091,50.0,1e-06,24.0,kos,0.134
1000.0,1000.0,25.0,25.0,0.1823636363636364,50.0,1e-06,24.0,kos,0.046
1000.0,1000.0,25.0,25.0,0.21863636363636366,50.0,1e-06,24.0,kos,0.021
1000.0,1000.0,25.0,25.0,0.2549090909090909,50.0,1e-06,24.0,kos,0.011
1000.0,1000.0,25.0,25.0,0.2911818181818182,50.0,1e-06,24.0,kos,0.008
1000.0,1000.0,25.0,25.0,0.3274545454545455,50.0,1e-06,24.0,kos,0.002
1000.0,1000.0,25.0,25.0,0.3637272727272728,50.0,1e-06,24.0,kos,0.001
1000.0,1000.0,25.0,25.0,0.4,50.0,1e-06,24.0,kos,0.001
