m,n,l,r,q,easiness_alpha,easiness_beta,iternum,method,error
250.0,250.0,13.0,13.0,0.3,50.0,1e-06,1.0,kos,0.092
1000.0,1000.0,13.0,13.0,0.3,50.0,1e-06,1.0,kos,0.087
4000.0,4000.0,13.0,13.0,0.3,50.0,1e-06,1.0,kos,0.05225
63.0,63.0,15.0,15.0,0.3,50.0,1e-06,1.0,kos,0.015873015873015872
250.0,250.0,15.0,15.0,0.3,50.0,1e-06,1.0,kos,0.048
1000.0,1000.0,15.0,15.0,0.3,50.0,1e-06,1.0,kos,0.046
4000.0,4000.0,15.0,15.0,0.3,50.0,1e-06,1.0,kos,0.03025
63.0,63.0,1.0,1.0,0.3,50.0,1e-06,2.0,kos,1.0
250.0,250.0,1.0,1.0,0.3,50.0,1e-06,2.0,kos,1.0
1000.0,1000.0,1.0,1.0,0.3,50.0,1e-06,2.0,kos,1.0
4000.0,4000.0,1.0,1.0,0.3,50.0,1e-06,2.0,kos,1.0
63.0,63.0,3.0,3.0,0.3,50.0,1e-06,2.0,kos,0.4126984126984127
250.0,250.0,3.0,3.0,0.3,50.0,1e-06,2.0,kos,0.424
1000.0,1000.0,3.0,3.0,0.3,50.0,1e-06,2.0,kos,0.42
4000.0,4000.0,3.0,3.0,0.3,50.0,1e-06,2.0,kos,0.42475
63.0,63.0,5.0,5.0,0.3,50.0,1e-06,2.0,kos,0.4603174603174603
250.0,250.0,5.0,5.0,0.3,50.0,1e-06,2.0,kos,0.296
1000.0,1000.0,5.0,5.0,0.3,50.0,1e-06,2.0,kos,0.305
4000.0,4000.0,5.0,5.0,0.3,50.0,1e-06,2.0,kos,0.295
63.0,63.0,6.0,6.0,0.3,50.0,1e-06,2.0,kos,0.2857142857142857
250.0,250.0,6.0,6.0,0.3,50.0,1e-06,2.0,kos,0.276
1000.0,1000.0,6.0,6.0,0.3,50.0,1e-06,2.0,kos,0.233
4000.0,4000.0,6.0,6.0,0.3,50.0,1e-06,2.0,kos,0.2315
63.0,63.0,7.0,7.0,0.3,50.0,1e-06,2.0,kos,0.31746031746031744
250.0,250.0,7.0,7.0,0.3,50.0,1e-06,2.0,kos,0.128
1000.0,1000.0,7.0,7.0,0.3,50.0,1e-06,2.0,kos,0.263
4000.0,4000.0,7.0,7.0,0.3,50.0,1e-06,2.0,kos,0.18275
63.0,63.0,9.0,9.0,0.3,50.0,1e-06,2.0,kos,0.06349206349206349
250.0,250.0,9.0,9.0,0.3,50.0,1e-06,2.0,kos,0.172
1000.0,1000.0,9.0,9.0,0.3,50.0,1e-06,2.0,kos,0.117
4000.0,4000.0,9.0,9.0,0.3,50.0,1e-06,2.0,kos,0.15175
63.0,63.0,11.0,11.0,0.3,50.0,1e-06,2.0,kos,0.06349206349206349
250.0,250.0,11.0,11.0,0.3,50.0,1e-06,2.0,kos,0.084
1000.0,1000.0,11.0,11.0,0.3,50.0,1e-06,2.0,kos,0.125
4000.0,4000.0,11.0,11.0,0.3,50.0,1e-06,2.0,kos,0.073
63.0,63.0,13.0,13.0,0.3,50.0,1e-06,2.0,kos,0.14285714285714285
250.0,250.0,13.0,13.0,0.3,50.0,1e-06,2.0,kos,0.068
1000.0,1000.0,13.0,13.0,0.3,50.0,1e-06,2.0,kos,0.055
4000.0,4000.0,13.0,13.0,0.3,50.0,1e-06,2.0,kos,0.0635
63.0,63.0,15.0,15.0,0.3,50.0,1e-06,2.0,kos,0.047619047619047616
250.0,250.0,15.0,15.0,0.3,50.0,1e-06,2.0,kos,0.016
1000.0,1000.0,15.0,15.0,0.3,50.0,1e-06,2.0,kos,0.026
4000.0,4000.0,15.0,15.0,0.3,50.0,1e-06,2.0,kos,0.02325
63.0,63.0,1.0,1.0,0.3,50.0,1e-06,3.0,kos,1.0
250.0,250.0,1.0,1.0,0.3,50.0,1e-06,3.0,kos,1.0
1000.0,1000.0,1.0,1.0,0.3,50.0,1e-06,3.0,kos,1.0
4000.0,4000.0,1.0,1.0,0.3,50.0,1e-06,3.0,kos,1.0
63.0,63.0,3.0,3.0,0.3,50.0,1e-06,3.0,kos,0.36507936507936506
250.0,250.0,3.0,3.0,0.3,50.0,1e-06,3.0,kos,0.412
1000.0,1000.0,3.0,3.0,0.3,50.0,1e-06,3.0,kos,0.429
4000.0,4000.0,3.0,3.0,0.3,50.0,1e-06,3.0,kos,0.4265
63.0,63.0,5.0,5.0,0.3,50.0,1e-06,3.0,kos,0.25396825396825395
250.0,250.0,5.0,5.0,0.3,50.0,1e-06,3.0,kos,0.256
1000.0,1000.0,5.0,5.0,0.3,50.0,1e-06,3.0,kos,0.261
4000.0,4000.0,5.0,5.0,0.3,50.0,1e-06,3.0,kos,0.30275
63.0,63.0,6.0,6.0,0.3,50.0,1e-06,3.0,kos,0.2698412698412698
250.0,250.0,6.0,6.0,0.3,50.0,1e-06,3.0,kos,0.34
1000.0,1000.0,6.0,6.0,0.3,50.0,1e-06,3.0,kos,0.275
4000.0,4000.0,6.0,6.0,0.3,50.0,1e-06,3.0,kos,0.26025
63.0,63.0,7.0,7.0,0.3,50.0,1e-06,3.0,kos,0.15873015873015872
250.0,250.0,7.0,7.0,0.3,50.0,1e-06,3.0,kos,0.148
1000.0,1000.0,7.0,7.0,0.3,50.0,1e-06,3.0,kos,0.205
4000.0,4000.0,7.0,7.0,0.3,50.0,1e-06,3.0,kos,0.2275
63.0,63.0,9.0,9.0,0.3,50.0,1e-06,3.0,kos,0.15873015873015872
250.0,250.0,9.0,9.0,0.3,50.0,1e-06,3.0,kos,0.124
1000.0,1000.0,9.0,9.0,0.3,50.0,1e-06,3.0,kos,0.147
4000.0,4000.0,9.0,9.0,0.3,50.0,1e-06,3.0,kos,0.10875
63.0,63.0,11.0,11.0,0.3,50.0,1e-06,3.0,kos,0.06349206349206349
250.0,250.0,11.0,11.0,0.3,50.0,1e-06,3.0,kos,0.072
1000.0,1000.0,11.0,11.0,0.3,50.0,1e-06,3.0,kos,0.04
4000.0,4000.0,11.0,11.0,0.3,50.0,1e-06,3.0,kos,0.09525
63.0,63.0,13.0,13.0,0.3,50.0,1e-06,3.0,kos,0.07936507936507936
250.0,250.0,13.0,13.0,0.3,50.0,1e-06,3.0,kos,0.052
1000.0,1000.0,13.0,13.0,0.3,50.0,1e-06,3.0,kos,0.027
4000.0,4000.0,13.0,13.0,0.3,50.0,1e-06,3.0,kos,0.04375
63.0,63.0,15.0,15.0,0.3,50.0,1e-06,3.0,kos,0.047619047619047616
250.0,250.0,15.0,15.0,0.3,50.0,1e-06,3.0,kos,0.016
1000.0,1000.0,15.0,15.0,0.3,50.0,1e-06,3.0,kos,0.025
4000.0,4000.0,15.0,15.0,0.3,50.0,1e-06,3.0,kos,0.024
63.0,63.0,1.0,1.0,0.3,50.0,1e-06,4.0,kos,1.0
250.0,250.0,1.0,1.0,0.3,50.0,1e-06,4.0,kos,1.0
1000.0,1000.0,1.0,1.0,0.3,50.0,1e-06,4.0,kos,1.0
4000.0,4000.0,1.0,1.0,0.3,50.0,1e-06,4.0,kos,1.0
63.0,63.0,3.0,3.0,0.3,50.0,1e-06,4.0,kos,0.42857142857142855
250.0,250.0,3.0,3.0,0.3,50.0,1e-06,4.0,kos,0.44
1000.0,1000.0,3.0,3.0,0.3,50.0,1e-06,4.0,kos,0.399
4000.0,4000.0,3.0,3.0,0.3,50.0,1e-06,4.0,kos,0.42325
63.0,63.0,5.0,5.0,0.3,50.0,1e-06,4.0,kos,0.23809523809523808
250.0,250.0,5.0,5.0,0.3,50.0,1e-06,4.0,kos,0.272
1000.0,1000.0,5.0,5.0,0.3,50.0,1e-06,4.0,kos,0.247
4000.0,4000.0,5.0,5.0,0.3,50.0,1e-06,4.0,kos,0.31175
63.0,63.0,6.0,6.0,0.3,50.0,1e-06,4.0,kos,0.19047619047619047
250.0,250.0,6.0,6.0,0.3,50.0,1e-06,4.0,kos,0.336
1000.0,1000.0,6.0,6.0,0.3,50.0,1e-06,4.0,kos,0.252
4000.0,4000.0,6.0,6.0,0.3,50.0,1e-06,4.0,kos,0.24175
63.0,63.0,7.0,7.0,0.3,50.0,1e-06,4.0,kos,0.19047619047619047
250.0,250.0,7.0,7.0,0.3,50.0,1e-06,4.0,kos,0.148
1000.0,1000.0,7.0,7.0,0.3,50.0,1e-06,4.0,kos,0.22
4000.0,4000.0,7.0,7.0,0.3,50.0,1e-06,4.0,kos,0.213
63.0,63.0,9.0,9.0,0.3,50.0,1e-06,4.0,kos,0.20634920634920634
250.0,250.0,9.0,9.0,0.3,50.0,1e-06,4.0,kos,0.108
1000.0,1000.0,9.0,9.0,0.3,50.0,1e-06,4.0,kos,0.17
4000.0,4000.0,9.0,9.0,0.3,50.0,1e-06,4.0,kos,0.13875
63.0,63.0,11.0,11.0,0.3,50.0,1e-06,4.0,kos,0.20634920634920634
250.0,250.0,11.0,11.0,0.3,50.0,1e-06,4.0,kos,0.076
1000.0,1000.0,11.0,11.0,0.3,50.0,1e-06,4.0,kos,0.092
4000.0,4000.0,11.0,11.0,0.3,50.0,1e-06,4.0,kos,0.08125
63.0,63.0,13.0,13.0,0.3,50.0,1e-06,4.0,kos,0.0
250.0,250.0,13.0,13.0,0.3,50.0,1e-06,4.0,kos,0.084
1000.0,1000.0,13.0,13.0,0.3,50.0,1e-06,4.0,kos,0.052
4000.0,4000.0,13.0,13.0,0.3,50.0,1e-06,4.0,kos,0.0555
63.0,63.0,15.0,15.0,0.3,50.0,1e-06,4.0,kos,0.06349206349206349
250.0,250.0,15.0,15.0,0.3,50.0,1e-06,4.0,kos,0.032
1000.0,1000.0,15.0,15.0,0.3,50.0,1e-06,4.0,kos,0.022
4000.0,4000.0,15.0,15.0,0.3,50.0,1e-06,4.0,kos,0.03175
63.0,63.0,1.0,1.0,0.3,50.0,1e-06,5.0,kos,1.0
250.0,250.0,1.0,1.0,0.3,50.0,1e-06,5.0,kos,1.0
1000.0,1000.0,1.0,1.0,0.3,50.0,1e-06,5.0,kos,1.0
4000.0,4000.0,1.0,1.0,0.3,50.0,1e-06,5.0,kos,1.0
63.0,63.0,3.0,3.0,0.3,50.0,1e-06,5.0,kos,0.47619047619047616
250.0,250.0,3.0,3.0,0.3,50.0,1e-06,5.0,kos,0.424
1000.0,1000.0,3.0,3.0,0.3,50.0,1e-06,5.0,kos,0.441
4000.0,4000.0,3.0,3.0,0.3,50.0,1e-06,5.0,kos,0.41925
63.0,63.0,5.0,5.0,0.3,50.0,1e-06,5.0,kos,0.3492063492063492
250.0,250.0,5.0,5.0,0.3,50.0,1e-06,5.0,kos,0.312
1000.0,1000.0,5.0,5.0,0.3,50.0,1e-06,5.0,kos,0.314
4000.0,4000.0,5.0,5.0,0.3,50.0,1e-06,5.0,kos,0.28775
63.0,63.0,6.0,6.0,0.3,50.0,1e-06,5.0,kos,0.1746031746031746
250.0,250.0,6.0,6.0,0.3,50.0,1e-06,5.0,kos,0.288
1000.0,1000.0,6.0,6.0,0.3,50.0,1e-06,5.0,kos,0.24
4000.0,4000.0,6.0,6.0,0.3,50.0,1e-06,5.0,kos,0.23675
63.0,63.0,7.0,7.0,0.3,50.0,1e-06,5.0,kos,0.1111111111111111
250.0,250.0,7.0,7.0,0.3,50.0,1e-06,5.0,kos,0.192
1000.0,1000.0,7.0,7.0,0.3,50.0,1e-06,5.0,kos,0.207
4000.0,4000.0,7.0,7.0,0.3,50.0,1e-06,5.0,kos,0.20075
63.0,63.0,9.0,9.0,0.3,50.0,1e-06,5.0,kos,0.15873015873015872
